id;stock_id;sticker;business_date;stock_price
1;11616;below;2025-03-01T15:07:05;11716.82
2;14114;activist;2025-03-02T02:08:13;16369.76
3;1739;ah yahoo;2025-03-01T19:55:20;29320.62
4;18020;ha;2025-03-02T00:18:00;9251.1
5;10282;detest;2025-03-01T20:36:23;7380.02
6;5655;per pish;2025-03-02T02:44:40;22922.87
7;21110;happening over;2025-03-01T14:30:24;27953.15
8;30417;terribly fit jaggedly;2025-03-01T16:39:15;5924.5
9;4498;tea pretend;2025-03-01T16:53:58;27427.77
10;13796;buoyant die crime;2025-03-01T18:05:34;3102.56
